Flag Name,Flag Value,Flag PTS,Flag Location,Category (see tab #2),displayInterval,Author,isKing,Description,UpdateCmd,How to
tri01,3W8tgeryMjtkm5gaSDNc,25,scoreboard.hf,tri,365 days,HF Crew,FALSE,Flag from Chuck,Null,
tri02,eS5UWE2bRLXAouh1jK3P,25,scoreboard.hf,tri,366 days,HF Crew,FALSE,Flag from Chuck,Null,
tri03,BYcga4ILwzyncGckFIkO,25,scoreboard.hf,tri,367 days,HF Crew,FALSE,Flag from Chuck,Null,
tri04,yNlvgXPa7yy92gnAW4nT,25,scoreboard.hf,tri,368 days,HF Crew,FALSE,Flag from Chuck,Null,
tri05,DyutzIptkGLScv0TJCiG,25,scoreboard.hf,tri,369 days,HF Crew,FALSE,Flag from Chuck,Null,
tri06,8rvp4rLzvmetB9Ytn6eR,25,scoreboard.hf,tri,370 days,HF Crew,FALSE,Flag from Chuck,Null,
tri07,ZLKRYxQyWUMZ6MANAO4g,25,scoreboard.hf,tri,371 days,HF Crew,FALSE,Flag from Chuck,Null,
tri08,jTCv6bExYcWk4tM9kmSu,25,scoreboard.hf,tri,372 days,HF Crew,FALSE,Flag from Chuck,Null,
tri09,wMKMma9zLex5T6dcJiAk,25,scoreboard.hf,tri,373 days,HF Crew,FALSE,Flag from Chuck,Null,
tri10,EPURRaZDEXCYXmgHjDyE,25,scoreboard.hf,tri,374 days,HF Crew,FALSE,Flag from Chuck,Null,
tri11,IDdsrJYps78wvRfZqiLL,25,scoreboard.hf,tri,375 days,HF Crew,FALSE,Flag from Chuck,Null,
tri12,DcQfJWeEUdotynbSUwPG,25,scoreboard.hf,tri,376 days,HF Crew,FALSE,Flag from Chuck,Null,
tri13,ed8lj9JuIFMojnBYTlsX,25,scoreboard.hf,tri,377 days,HF Crew,FALSE,Flag from Chuck,Null,
tri14,8nqRs5nkgFygB9iyc2tw,25,scoreboard.hf,tri,378 days,HF Crew,FALSE,Flag from Chuck,Null,
tri15,1MbYMfqyoT34Y4X1dz6A,25,scoreboard.hf,tri,379 days,HF Crew,FALSE,Flag from Chuck,Null,
